Order_ID,Order_Preparation_Time (min),Delivery_Distance (km),Order_Size (items),Time_of_Day,Traffic_Condition,Weather,Delivery_Time (min)
304,18.1,3.49,1,Morning,High,Rainy,43.9
305,14.9,6.07,3,Evening,High,Clear,46.6
306,15.6,3.2,1,Evening,Medium,Clear,33.3
307,21.4,5.06,7,Morning,Low,Cloudy,50.5
308,12.0,4.98,1,Morning,Medium,Cloudy,32.8
309,17.7,7.17,5,Evening,Medium,Cloudy,61.7
310,14.0,5.95,6,Night,Medium,Clear,53.3
311,13.9,4.95,3,Afternoon,High,Clear,40.6
312,20.5,6.64,4,Night,Jam,Clear,61.1
313,19.1,7.78,3,Night,Low,Clear,53.0
314,19.1,6.12,5,Morning,Medium,Rainy,46.0
315,21.5,5.02,1,Afternoon,Medium,Clear,42.3
316,15.1,2.38,5,Night,Medium,Clear,34.3
317,18.4,2.87,2,Morning,Low,Cloudy,32.0
318,13.4,4.39,2,Night,Low,Clear,24.9
319,16.6,3.78,4,Night,High,Cloudy,42.2
320,14.3,4.63,5,Morning,Medium,Rainy,38.5
321,15.5,5.11,7,Morning,Medium,Clear,44.4
322,18.0,6.06,4,Morning,Jam,Rainy,64.5
323,10.9,4.86,7,Afternoon,High,Cloudy,49.9
324,25.5,5.97,4,Night,Low,Clear,51.8
325,10.0,5.13,2,Morning,Medium,Clear,35.0
326,8.9,1.05,4,Evening,Medium,Clear,19.9
327,20.8,3.12,2,Night,High,Cloudy,43.1
328,19.0,4.71,1,Evening,High,Cloudy,50.4
329,18.1,2.58,7,Afternoon,Medium,Rainy,38.7
330,18.1,6.2,5,Morning,Medium,Stormy,49.8
331,14.9,8.06,4,Evening,High,Cloudy,58.1
332,10.5,7.44,2,Afternoon,Low,Cloudy,35.5
333,15.4,4.57,3,Morning,Low,Clear,29.2
334,11.6,7.98,7,Evening,Medium,Cloudy,61.5
335,19.9,5.3,4,Evening,Low,Clear,47.4
336,14.3,4.33,6,Afternoon,Low,Cloudy,38.6
337,10.9,3.77,1,Morning,High,Clear,36.7
338,13.4,4.4,1,Morning,Jam,Clear,44.8
339,17.1,4.22,3,Evening,Medium,Clear,38.7
340,12.2,5.34,2,Evening,Low,Clear,25.6
341,10.9,5.32,4,Evening,Low,Cloudy,32.2
342,16.2,5.01,7,Morning,Low,Clear,42.8
343,16.2,5.87,2,Afternoon,Low,Cloudy,42.7
344,12.5,7.38,1,Afternoon,Jam,Clear,52.4
345,12.6,6.9,2,Morning,Low,Cloudy,32.4
346,16.2,2.03,1,Night,Medium,Clear,27.0
347,7.8,0.5,2,Afternoon,Low,Clear,11.6
348,8.0,6.87,3,Evening,High,Cloudy,41.5
349,11.4,2.27,5,Night,High,Clear,37.8
350,13.9,4.55,3,Night,Jam,Clear,43.8
351,16.6,2.66,3,Afternoon,High,Clear,35.7
352,22.4,1.4,5,Night,Medium,Clear,39.8
353,19.3,6.08,5,Night,Low,Cloudy,51.1
354,14.2,6.52,4,Afternoon,Medium,Clear,43.8
355,14.9,3.85,7,Afternoon,Medium,Cloudy,39.1
356,10.0,0.5,7,Night,Medium,Rainy,26.5
357,14.9,3.91,4,Evening,Low,Clear,26.9
358,13.6,5.78,3,Morning,Low,Stormy,45.5
359,16.6,2.04,3,Night,Medium,Cloudy,36.0
360,10.9,5.37,1,Night,Medium,Cloudy,32.0
361,17.6,4.97,1,Evening,High,Cloudy,49.8
362,22.7,6.16,7,Night,Low,Cloudy,44.5
363,14.5,5.24,4,Night,Medium,Cloudy,42.2
364,17.0,3.05,6,Morning,Low,Clear,31.6
365,18.5,7.39,6,Morning,Low,Clear,51.7
366,13.0,4.68,4,Morning,Medium,Clear,36.0
367,16.1,4.95,1,Afternoon,Low,Clear,31.2
368,15.1,3.13,7,Afternoon,Low,Clear,38.6
369,15.5,4.11,7,Morning,Medium,Clear,40.3
370,11.1,3.23,1,Morning,Low,Clear,21.8
371,15.1,4.65,6,Afternoon,Low,Cloudy,36.1
372,17.5,8.42,2,Evening,Low,Rainy,54.8
373,22.3,2.26,2,Night,Low,Rainy,33.0
374,19.8,1.77,1,Night,Low,Clear,25.2
375,25.8,7.94,2,Morning,Medium,Cloudy,60.3
376,11.2,4.58,5,Evening,Low,Rainy,37.4
377,19.4,3.66,4,Afternoon,Low,Clear,40.5
378,15.9,7.08,4,Morning,Medium,Clear,51.9
379,25.9,3.79,1,Evening,Medium,Rainy,50.4
380,11.0,8.65,3,Evening,High,Cloudy,56.7
381,10.8,6.36,6,Evening,High,Clear,53.1
382,12.0,4.02,1,Afternoon,High,Clear,32.2
383,5.0,9.31,2,Afternoon,Medium,Clear,45.2
384,12.4,3.79,6,Night,Medium,Rainy,40.9
385,11.2,6.48,3,Night,Medium,Cloudy,40.5
386,15.8,5.6,2,Evening,Low,Clear,37.9
387,16.7,7.6,7,Evening,Low,Clear,50.5
388,24.4,8.12,5,Afternoon,Low,Cloudy,62.0
389,19.8,5.06,2,Night,Jam,Cloudy,51.2
390,12.1,3.49,5,Evening,Medium,Clear,36.0
391,10.5,5.92,6,Night,High,Rainy,44.8
392,17.5,3.64,5,Night,Medium,Clear,39.6
393,8.4,9.03,6,Evening,Medium,Clear,55.8
394,24.2,5.27,6,Afternoon,Low,Cloudy,46.8
395,20.9,4.27,6,Evening,Low,Clear,40.8
396,12.7,5.37,6,Evening,High,Rainy,44.0
397,6.4,2.31,6,Night,Medium,Cloudy,21.7
398,21.8,3.06,2,Evening,Medium,Cloudy,40.2
399,14.4,7.4,6,Afternoon,High,Clear,61.5
400,21.2,3.69,2,Evening,Low,Clear,33.2
401,7.0,2.91,6,Afternoon,Jam,Clear,35.3
402,12.0,6.07,5,Afternoon,Medium,Cloudy,44.4
403,15.0,7.37,7,Night,Medium,Cloudy,57.4
404,15.2,6.44,6,Morning,Medium,Rainy,50.4
405,12.7,6.99,3,Morning,Low,Cloudy,45.6
406,18.1,3.49,6,Night,Low,Rainy,37.0
407,9.7,2.16,6,Evening,Medium,Cloudy,32.0
408,14.3,8.0,5,Night,High,Clear,45.1
409,15.6,4.35,4,Afternoon,High,Clear,49.8
410,17.6,4.5,5,Morning,Low,Cloudy,44.6
411,18.6,7.66,3,Night,Medium,Clear,53.9
412,9.4,6.11,4,Evening,Low,Clear,25.0
413,7.3,5.91,1,Night,Low,Cloudy,28.0
414,21.4,9.33,1,Morning,Medium,Rainy,53.4
415,16.7,3.71,3,Night,Medium,Clear,30.8
416,11.3,6.86,5,Night,Low,Cloudy,38.0
417,22.8,5.11,2,Morning,Low,Rainy,51.3
418,15.6,5.54,3,Afternoon,Jam,Clear,54.4
419,20.9,8.06,7,Afternoon,Low,Clear,58.4
420,15.3,6.02,4,Morning,Medium,Clear,38.2
421,25.3,6.08,4,Night,Medium,Cloudy,55.0
422,23.8,7.15,6,Morning,Low,Cloudy,55.9
423,13.8,4.27,1,Afternoon,Low,Rainy,35.9
424,19.9,3.32,4,Evening,Medium,Cloudy,41.8
425,18.2,2.91,3,Night,High,Clear,41.6
426,21.8,1.07,4,Afternoon,Medium,Clear,33.4
427,10.2,9.11,3,Night,Medium,Cloudy,40.4
428,18.4,2.79,2,Morning,Jam,Clear,43.1
429,20.3,4.56,6,Evening,High,Clear,46.7
430,6.2,4.45,1,Morning,Medium,Clear,23.0
431,9.1,5.61,4,Evening,Medium,Clear,32.9
432,5.0,6.63,3,Night,Medium,Clear,39.2
433,13.7,6.72,5,Night,Medium,Clear,48.3
434,18.6,3.83,1,Morning,Medium,Clear,33.6
435,22.5,4.67,2,Evening,Medium,Clear,40.0
436,15.4,5.57,3,Evening,Low,Cloudy,37.3
437,23.1,4.5,7,Night,Medium,Rainy,57.6
438,8.1,8.21,7,Morning,Low,Clear,37.1
439,6.5,5.98,6,Evening,Low,Cloudy,34.0
440,14.7,6.47,6,Night,Low,Clear,40.7
441,16.9,6.33,2,Afternoon,Medium,Cloudy,49.0
442,14.8,7.35,2,Morning,Medium,Rainy,48.2
443,5.0,5.36,6,Afternoon,Low,Cloudy,33.5
444,14.6,2.41,4,Morning,Medium,Rainy,36.4
445,8.5,5.8,4,Night,Medium,Clear,30.2
446,18.3,3.7,3,Evening,Low,Clear,33.4
447,16.8,3.94,5,Evening,Medium,Rainy,41.9
448,10.3,6.17,3,Evening,High,Clear,46.9
449,12.4,7.48,5,Morning,High,Clear,54.0
450,9.7,5.04,2,Night,Medium,Cloudy,38.9
451,14.7,5.62,1,Afternoon,Medium,Rainy,47.3
452,19.8,8.4,3,Night,Low,Rainy,54.8
453,10.1,5.48,3,Afternoon,Low,Clear,30.1
454,17.5,10.2,5,Morning,Low,Rainy,58.6
455,12.3,6.13,2,Morning,Jam,Clear,55.3
456,11.0,1.48,2,Afternoon,Low,Clear,18.8
457,14.5,6.51,7,Afternoon,Low,Cloudy,34.5
458,9.8,5.76,5,Afternoon,High,Clear,42.9
459,12.2,7.58,2,Night,Jam,Clear,48.9
460,9.0,6.35,6,Afternoon,High,Cloudy,44.4
461,24.8,4.72,4,Morning,Low,Clear,43.1
462,15.2,2.55,7,Morning,Low,Clear,27.9
463,11.5,4.58,6,Evening,Medium,Clear,45.0
464,16.1,3.3,1,Afternoon,Low,Clear,26.4
465,14.4,3.84,3,Night,Low,Clear,26.8
466,13.9,6.18,7,Night,Medium,Cloudy,40.5
467,18.1,8.34,1,Night,Jam,Cloudy,63.9
468,18.8,5.79,3,Evening,Medium,Clear,42.5
469,12.3,2.61,4,Morning,Medium,Rainy,33.7
470,12.1,5.89,2,Night,Medium,Clear,32.9
471,13.6,7.39,6,Morning,Low,Clear,39.0
472,5.0,3.78,5,Evening,Medium,Rainy,31.6
473,7.4,4.73,6,Afternoon,Low,Clear,31.5
474,21.8,5.03,4,Afternoon,Low,Stormy,46.3
475,23.2,3.43,1,Afternoon,High,Clear,45.2
476,13.8,6.3,5,Night,Low,Cloudy,41.4
477,17.9,4.76,2,Afternoon,Jam,Clear,49.5
478,16.6,5.84,4,Night,Low,Clear,38.2
479,30.4,3.23,5,Evening,Medium,Clear,52.4
480,20.6,4.13,4,Evening,Medium,Cloudy,45.9
481,14.4,6.44,4,Night,Low,Cloudy,44.9
482,10.2,4.25,2,Morning,Low,Rainy,30.6
483,7.0,8.45,7,Afternoon,Medium,Clear,49.0
484,16.0,4.2,3,Afternoon,High,Clear,45.7
485,11.2,5.45,5,Afternoon,High,Clear,44.1
486,7.9,6.87,2,Night,Medium,Cloudy,35.1
487,11.8,2.16,4,Evening,High,Rainy,38.6
488,9.6,1.48,2,Afternoon,Medium,Clear,22.8
